an,1,2
an,1,4
an,1,6
an,1,8
an,1,10
an,1,12
an,1,14
an,1,16
an,1,18
an,2,2
an,2,4
an,2,6
an,2,8
an,2,10
an,2,12
an,2,14
an,2,16
an,2,18
an,3,2
an,3,4
an,3,6
an,3,8
an,3,10
an,3,12
an,3,14
an,3,16
an,3,18
me,1,2
me,1,4
me,1,6
me,1,8
me,1,10
me,1,12
me,1,14
me,1,16
me,2,2
me,2,4
me,2,6
me,2,8
me,2,10
me,2,12
me,2,14
me,2,16
me,3,2
me,3,4
me,3,6
me,3,8
me,3,10
me,3,12
me,3,14
me,3,16
me,4,2
me,4,4
me,4,6
me,4,8
me,4,10
me,4,12
me,4,14
me,4,16
me,5,2
me,5,4
me,5,6
me,5,8
me,5,10
me,5,12
me,5,14
me,5,16
me,5,18
me,5,20
me,6,12
me,6,14
me,6,16
me,6,18
me,6,20
me,7,12
me,7,14
me,7,16
me,7,18
me,8,12
me,8,14
me,8,16
me,8,18
me,8,20
pr,1,2
pr,1,4
pr,1,6
pr,1,8
pr,1,10
pr,1,12
pr,1,14
pr,1,16
pr,1,18
pr,2,2
pr,2,4
pr,2,6
pr,2,8
pr,2,10
pr,2,12
pr,2,14
pr,2,16
pr,2,18
pr,3,2
pr,3,4
pr,3,6
pr,3,8
pr,3,10
pr,3,12
pr,3,14
pr,3,16
pr,3,18
ps,1,2
ps,1,4
ps,1,6
ps,1,8
ps,1,10
ps,1,12
ps,1,14
ps,1,16
ps,1,18
ps,2,2
ps,2,4
ps,2,6
ps,2,8
ps,2,10
ps,2,12
ps,2,14
ps,2,16
ps,2,18
ps,3,2
ps,3,4
ps,3,6
ps,3,8
ps,3,10
ps,3,12
ps,3,14
ps,3,16
ps,3,18
si,1,2
si,1,4
si,1,6
si,1,8
si,1,10
si,1,12
si,1,14
si,1,16
si,1,18
si,2,2
si,2,4
si,2,6
si,2,8
si,2,10
si,2,12
si,2,14
si,2,16
si,2,18
si,3,2
si,3,4
si,3,6
si,3,8
si,3,10
si,3,12
si,3,14
si,3,16
si,3,18
vi,1,2
vi,1,4
vi,1,6
vi,1,8
vi,1,10
vi,1,12
vi,1,14
vi,1,16
vi,1,18
vi,1,20
vi,2,2
vi,2,4
vi,2,6
vi,2,8
vi,2,10
vi,2,12
vi,2,14
vi,2,16
vi,2,18
vi,2,20
vi,2,22
vi,2,24
vi,2,26
vi,3,2
vi,3,4
vi,3,6
vi,3,8
vi,3,10
vi,3,12
vi,3,14
vi,3,16
vi,3,18
vi,3,20
vi,3,22
vi,3,24
vi,3,26
